SiteName,Laboratory ID,Age,SD,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes,Reference
CS4,Beta-144306 ,790,80,Wood charcoal ,shcal20,CS4,Agricultural,2c,_,Mulrooney 2013
CS4,Beta-144307 ,840,40,Wood charcoal ,shcal20,CS4,Agricultural,2c,_,Mulrooney 2013
East Poike ,KIA-18838 ,588,22,Wood charcoal ,shcal20,East Poike,Residential,2b,_,Mulrooney 2013
East Poike ,KIA-18837 ,631,22,Wood charcoal ,shcal20,East Poike,Residential,2b,_,Mulrooney 2013
East Poike ,KIA-20383 ,317,20,Carbonized nutshell ,shcal20,East Poike,Residential,1c,_,Mulrooney 2013
East Poike ,SRR-2430 ,820,40,Carbonized nutshell e rat-gnawed ,shcal20,East Poike,Residential,1c,_,Mulrooney 2013
Hanga te Pahu ,CNRS 1111b ,465,85,Carbonized nutshell ,shcal20,Hanga te Pahu ,Residential,1b,_,Mulrooney 2013
Hanga te Pahu ,CNRS 1111a ,640,90,Carbonized nutshell ,shcal20,Hanga te Pahu ,Residential,1b,_,Mulrooney 2013
Maunga Orito,Beta-178860 ,200,50,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,_,Mulrooney 2013
Maunga Orito,KIA-17117 ,148,18,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,_,Mulrooney 2013
Maunga Orito,KIA-17118,114,21,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,Not in Lima et al.,Mulrooney 2013
Maunga Orito,KIA-17116 ,177,18,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,_,Mulrooney 2013
Maunga Orito,KIA-25975 ,347,21,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,_,Mulrooney 2013
Maunga Orito,Beta-196925 ,450,40,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,_,Mulrooney 2013
Maunga Orito,Beta-196926 ,460,40,Wood charcoal ,shcal20,Maunga Orito,Agricultural,2b,_,Mulrooney 2013
Moai Tukuturi ,T-5006 ,180,40,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
Moai Tukuturi ,T-6258 ,230,60,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
Moai Tukuturi ,Beta-13130 ,540,90,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
Moai Tukuturi ,Ua-618 ,1040,90,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
Orongo ,T-193 ,540,70,Wood charcoal ,shcal20,Orongo,Ceremonial,2b,_,Mulrooney 2013
Orongo ,Beta-099336 ,320,70,Wood charcoal ,shcal20,Orongo,Residential,2b,_,Mulrooney 2013
Orongo ,Beta-099342 ,240,60,Wood charcoal ,shcal20,Orongo,Residential,2b,_,Mulrooney 2013
Orongo ,Beta-099356 ,200,50,Wood charcoal ,shcal20,Orongo,Residential,2b,_,Mulrooney 2013
Orongo ,Beta-099347 ,210,50,Wood charcoal ,shcal20,Orongo,Residential,2b,_,Mulrooney 2013
O97 Orongo,Beta-099348,30,80,Wood charcoal,shcal20,Orongo,Residential,2b,Not in Lima et al.,Mulrooney 2013
Orongo ,Beta-099339 ,250,50,Wood charcoal ,shcal20,Orongo,Residential,2b,_,Mulrooney 2013
